hand,F_strat,F_ev,R2.1_strat,R2.1_ev,RAI_strat,RAI_ev,best_action,best_ev_action
22,100.0,0.0,0.0,-0.00311,0.0,-0.57564,F,F
32o,100.0,0.0,0.0,-0.03435,0.0,-0.76847,F,F
32s,100.0,0.0,0.0,-0.02168,0.0,-0.65296,F,F
33,93.35,0.0,6.65,-5e-05,0.0,-0.5586,F,F
42o,100.0,0.0,0.0,-0.0301,0.0,-0.75488,F,F
42s,100.0,0.0,0.0,-0.01741,0.0,-0.6405,F,F
43o,100.0,0.0,0.0,-0.02413,0.0,-0.70596,F,F
43s,100.0,0.0,0.0,-0.0108,0.0,-0.59507,F,F
44,0.0,0.0,100.0,0.00228,0.0,-0.54055,R2.1,R2.1
52o,100.0,0.0,0.0,-0.02884,0.0,-0.74181,F,F
52s,100.0,0.0,0.0,-0.01581,0.0,-0.62879,F,F
53o,100.0,0.0,0.0,-0.01989,0.0,-0.69257,F,F
53s,100.0,0.0,0.0,-0.00681,0.0,-0.58312,F,F
54o,100.0,0.0,0.0,-0.01481,0.0,-0.64374,F,F
54s,59.44,0.0,40.56,-5e-05,0.0,-0.5369,F,F
55,0.0,0.0,100.0,0.00869,0.0,-0.52364,R2.1,R2.1
62o,100.0,0.0,0.0,-0.03793,0.0,-0.77629,F,F
62s,100.0,0.0,0.0,-0.02428,0.0,-0.66106,F,F
63o,100.0,0.0,0.0,-0.02859,0.0,-0.72677,F,F
63s,100.0,0.0,0.0,-0.01496,0.0,-0.61395,F,F
64o,100.0,0.0,0.0,-0.02019,0.0,-0.67763,F,F
64s,100.0,0.0,0.0,-0.00631,0.0,-0.56783,F,F
65o,100.0,0.0,0.0,-0.0152,0.0,-0.62958,F,F
65s,24.98,0.0,75.02,5e-05,0.0,-0.5233,R2.1,R2.1
66,0.0,0.0,100.0,0.01397,0.0,-0.51406,R2.1,R2.1
72o,100.0,0.0,0.0,-0.04078,0.0,-0.81568,F,F
72s,100.0,0.0,0.0,-0.02797,0.0,-0.69812,F,F
73o,100.0,0.0,0.0,-0.03442,0.0,-0.76635,F,F
73s,100.0,0.0,0.0,-0.02129,0.0,-0.65212,F,F
74o,100.0,0.0,0.0,-0.02563,0.0,-0.71727,F,F
74s,100.0,0.0,0.0,-0.01242,0.0,-0.60616,F,F
75o,100.0,0.0,0.0,-0.01695,0.0,-0.66848,F,F
75s,100.0,0.0,0.0,-0.00393,0.0,-0.56021,F,F
76o,100.0,0.0,0.0,-0.01427,0.0,-0.63037,F,F
76s,65.61,0.0,34.39,-3e-05,0.0,-0.52332,F,F
77,0.0,0.0,100.0,0.02157,0.0,-0.51112,R2.1,R2.1
82o,100.0,0.0,0.0,-0.03941,0.0,-0.80389,F,F
82s,100.0,0.0,0.0,-0.02684,0.0,-0.68719,F,F
83o,100.0,0.0,0.0,-0.03804,0.0,-0.8023,F,F
83s,100.0,0.0,0.0,-0.02541,0.0,-0.68474,F,F
84o,100.0,0.0,0.0,-0.0323,0.0,-0.75331,F,F
84s,100.0,0.0,0.0,-0.01935,0.0,-0.63933,F,F
85o,100.0,0.0,0.0,-0.02284,0.0,-0.70451,F,F
85s,100.0,0.0,0.0,-0.01018,0.0,-0.59371,F,F
86o,100.0,0.0,0.0,-0.01714,0.0,-0.66424,F,F
86s,100.0,0.0,0.0,-0.00414,0.0,-0.5556,F,F
87o,100.0,0.0,0.0,-0.0135,0.0,-0.63341,F,F
87s,93.59,0.0,6.41,-5e-05,0.0,-0.52715,F,F
88,0.0,0.0,100.0,0.02744,0.0,-0.50487,R2.1,R2.1
92o,100.0,0.0,0.0,-0.03852,0.0,-0.80711,F,F
92s,100.0,0.0,0.0,-0.02513,0.0,-0.68859,F,F
93o,100.0,0.0,0.0,-0.03604,0.0,-0.79359,F,F
93s,100.0,0.0,0.0,-0.0232,0.0,-0.67696,F,F
94o,100.0,0.0,0.0,-0.03459,0.0,-0.7919,F,F
94s,100.0,0.0,0.0,-0.02161,0.0,-0.67534,F,F
95o,100.0,0.0,0.0,-0.02889,0.0,-0.74331,F,F
95s,100.0,0.0,0.0,-0.01565,0.0,-0.6301,F,F
96o,100.0,0.0,0.0,-0.02188,0.0,-0.70279,F,F
96s,100.0,0.0,0.0,-0.00858,0.0,-0.59264,F,F
97o,100.0,0.0,0.0,-0.016,0.0,-0.66981,F,F
97s,100.0,0.0,0.0,-0.00264,0.0,-0.56131,F,F
98o,100.0,0.0,0.0,-0.01383,0.0,-0.64658,F,F
98s,41.93,0.0,58.07,-1e-05,0.0,-0.53871,R2.1,F
99,0.0,0.0,100.0,0.03847,0.0,-0.50247,R2.1,R2.1
A2o,100.0,0.0,0.0,-0.02522,0.0,-0.41721,F,F
A2s,0.0,0.0,100.0,0.00239,0.0,-0.32105,R2.1,R2.1
A3o,100.0,0.0,0.0,-0.02107,0.0,-0.40607,F,F
A3s,0.0,0.0,100.0,0.00619,0.0,-0.3108,R2.1,R2.1
A4o,100.0,0.0,0.0,-0.01793,0.0,-0.39499,F,F
A4s,0.0,0.0,100.0,0.0101,0.0,-0.30082,R2.1,R2.1
A5o,100.0,0.0,0.0,-0.01368,0.0,-0.38452,F,F
A5s,0.0,0.0,100.0,0.0154,0.0,-0.29084,R2.1,R2.1
A6o,100.0,0.0,0.0,-0.01858,0.0,-0.41891,F,F
A6s,0.0,0.0,100.0,0.00811,0.0,-0.32315,R2.1,R2.1
A7o,100.0,0.0,0.0,-0.01619,0.0,-0.41098,F,F
A7s,0.0,0.0,100.0,0.01058,0.0,-0.31565,R2.1,R2.1
A8o,100.0,0.0,0.0,-0.01254,0.0,-0.40968,F,F
A8s,0.0,0.0,100.0,0.01379,0.0,-0.31501,R2.1,R2.1
A9o,100.0,0.0,0.0,-0.00971,0.0,-0.41239,F,F
A9s,0.0,0.0,100.0,0.01698,0.0,-0.3173,R2.1,R2.1
AA,0.0,0.0,99.98,0.7547,0.02,0.73051,R2.1,R2.1
AJo,0.0,0.0,100.0,0.00237,0.0,-0.34826,R2.1,R2.1
AJs,0.0,0.0,100.0,0.04159,0.0,-0.261,R2.1,R2.1
AKo,0.0,0.0,100.0,0.04339,0.0,-0.11318,R2.1,R2.1
AKs,0.0,0.0,100.0,0.10672,0.0,-0.04346,R2.1,R2.1
AQo,0.0,0.0,100.0,0.01231,0.0,-0.2557,R2.1,R2.1
AQs,0.0,0.0,100.0,0.06025,0.0,-0.17663,R2.1,R2.1
ATo,60.94,0.0,39.06,-2e-05,0.0,-0.38428,F,F
ATs,0.0,0.0,100.0,0.0336,0.0,-0.29116,R2.1,R2.1
J2o,100.0,0.0,0.0,-0.0346,0.0,-0.75884,F,F
J2s,100.0,0.0,0.0,-0.01939,0.0,-0.64585,F,F
J3o,100.0,0.0,0.0,-0.03206,0.0,-0.7466,F,F
J3s,100.0,0.0,0.0,-0.01714,0.0,-0.63368,F,F
J4o,100.0,0.0,0.0,-0.02988,0.0,-0.73397,F,F
J4s,100.0,0.0,0.0,-0.01461,0.0,-0.6227,F,F
J5o,100.0,0.0,0.0,-0.02723,0.0,-0.72212,F,F
J5s,100.0,0.0,0.0,-0.01231,0.0,-0.61169,F,F
J6o,100.0,0.0,0.0,-0.0274,0.0,-0.72781,F,F
J6s,100.0,0.0,0.0,-0.01219,0.0,-0.61745,F,F
J7o,100.0,0.0,0.0,-0.02407,0.0,-0.69312,F,F
J7s,100.0,0.0,0.0,-0.00865,0.0,-0.58375,F,F
J8o,100.0,0.0,0.0,-0.01773,0.0,-0.66169,F,F
J8s,100.0,0.0,0.0,-0.00256,0.0,-0.55529,F,F
J9o,100.0,0.0,0.0,-0.01347,0.0,-0.63829,F,F
J9s,0.0,0.0,100.0,0.00192,0.0,-0.53244,R2.1,R2.1
JJ,0.0,0.0,100.0,0.09289,0.0,-0.38756,R2.1,R2.1
JTo,77.46,0.0,22.54,-3e-05,0.0,-0.61372,F,F
JTs,0.0,0.0,100.0,0.01807,0.0,-0.51009,R2.1,R2.1
K2o,100.0,0.0,0.0,-0.02835,0.0,-0.5959,F,F
K2s,100.0,0.0,0.0,-0.00755,0.0,-0.48895,F,F
K3o,100.0,0.0,0.0,-0.0259,0.0,-0.58416,F,F
K3s,100.0,0.0,0.0,-0.00522,0.0,-0.47814,F,F
K4o,100.0,0.0,0.0,-0.02338,0.0,-0.57258,F,F
K4s,100.0,0.0,0.0,-0.00271,0.0,-0.46767,F,F
K5o,100.0,0.0,0.0,-0.02032,0.0,-0.5612,F,F
K5s,94.99,0.0,5.01,-7e-05,0.0,-0.45712,F,F
K6o,100.0,0.0,0.0,-0.02057,0.0,-0.55729,F,F
K6s,96.06,0.0,3.94,-0.00013,0.0,-0.45462,F,F
K7o,100.0,0.0,0.0,-0.01975,0.0,-0.55783,F,F
K7s,34.53,0.0,65.47,3e-05,0.0,-0.45391,R2.1,R2.1
K8o,100.0,0.0,0.0,-0.01807,0.0,-0.5621,F,F
K8s,0.03,0.0,99.97,0.0011,0.0,-0.45852,R2.1,R2.1
K9o,100.0,0.0,0.0,-0.01417,0.0,-0.53867,F,F
K9s,0.0,0.0,100.0,0.00511,0.0,-0.4361,R2.1,R2.1
KJo,61.92,0.0,38.08,-1e-05,0.0,-0.47828,F,F
KJs,0.0,0.0,100.0,0.02009,0.0,-0.38301,R2.1,R2.1
KK,0.0,0.0,100.0,0.296,0.0,0.24144,R2.1,R2.1
