hand,best_action,best_ev
98s,R2.2,0.00909
K6s,R2.2,0.00926
K7s,R2.2,0.01092
Q9s,R2.2,0.01185
J9s,R2.2,0.01277
K8s,R2.2,0.01367
KJo,R2.2,0.01431
44,R2.2,0.01478
ATo,R2.2,0.01587
T9s,R2.2,0.01768
A2s,R2.2,0.01808
K9s,R2.2,0.02002
A3s,R2.2,0.02326
KQo,R2.2,0.0235
A6s,R2.2,0.02438
55,R2.2,0.02475
AJo,R2.2,0.02506
A7s,R2.2,0.0278
A4s,R2.2,0.02834
QTs,R2.2,0.03176
A8s,R2.2,0.03184
JTs,R2.2,0.03424
A5s,R2.2,0.03484
66,R2.2,0.03522
A9s,R2.2,0.0362
AQo,R2.2,0.03752
QJs,R2.2,0.03848
KTs,R2.2,0.04137
77,R2.2,0.04698
