hand,best_action,best_ev
K3s,R2.4,0.01001
87s,R2.4,0.01099
A9o,R2.4,0.01235
K4s,R2.4,0.01306
J8s,R2.4,0.0134
33,R2.4,0.01475
Q8s,R2.4,0.01523
98s,R2.4,0.01583
JTo,R2.4,0.01589
K5s,R2.4,0.01614
QTo,R2.4,0.0165
T8s,R2.4,0.01671
K6s,R2.4,0.01746
K7s,R2.4,0.02018
KTo,R2.4,0.0208
QJo,R2.4,0.021
Q9s,R2.4,0.02296
K8s,R2.4,0.02387
J9s,R2.4,0.02424
44,R2.4,0.02521
KJo,R2.4,0.0276
T9s,R2.4,0.02762
A2s,R2.4,0.0285
ATo,R2.4,0.03045
K9s,R2.4,0.03188
A3s,R2.4,0.03455
A6s,R2.4,0.03498
55,R2.4,0.03732
KQo,R2.4,0.03968
A4s,R2.4,0.04061
AJo,R2.4,0.04085
A7s,R2.4,0.04115
A5s,R2.4,0.04736
A8s,R2.4,0.04835
