hand,best_action,best_ev
84s,C,0.00918
Q5o,C,0.00948
T2s,R4,0.00953
K2o,C,0.00995
Q6o,C,0.01037
J7o,C,0.01152
K3o,C,0.01171
43s,C,0.01234
T3s,R4,0.01235
T7o,C,0.01238
97o,C,0.0126
Q7o,C,0.01291
K4o,C,0.01293
87o,C,0.01357
K5o,C,0.0149
74s,C,0.01566
K6o,C,0.01602
T4s,C,0.01658
J2s,C,0.0168
95s,C,0.01821
53s,C,0.01898
J8o,C,0.01906
Q8o,C,0.01939
J3s,C,0.01942
T5s,C,0.02012
98o,C,0.02068
64s,C,0.02088
A2o,C,0.021
K7o,C,0.02166
85s,C,0.02193
T8o,C,0.02248
J4s,C,0.02419
A3o,C,0.02571
K8o,C,0.02667
Q2s,C,0.02771
J5s,C,0.02833
T6s,C,0.02916
96s,C,0.02945
75s,C,0.02963
54s,C,0.03044
J6s,C,0.03052
A4o,C,0.03078
Q3s,C,0.03131
A6o,C,0.03137
J9o,C,0.03306
65s,C,0.03322
Q9o,C,0.03323
86s,C,0.03345
Q4s,C,0.03539
T9o,C,0.03692
A5o,C,0.03766
22,C,0.03817
76s,C,0.03853
A7o,C,0.03886
Q5s,C,0.04029
K9o,C,0.04031
J7s,C,0.04213
Q6s,C,0.04236
97s,C,0.04241
K2s,C,0.04296
T7s,C,0.04324
87s,C,0.04365
K3s,C,0.04649
Q7s,C,0.04671
A8o,C,0.04701
33,C,0.04947
